id,pair_id,family,representation,evaluation_kind,model,effort,response_id,status,error,input_tokens,output_tokens,total_tokens,duration_s,response_path
translation_to_graph_smiles_001_moljson,translation_to_graph_smiles_001,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_007f839b7dfa1dc10169faa7ca3e248195a5b7bdc488c54b03,ok,,547,483,1030,7.935,outputs/responses/translation_to_graph_smiles_001_moljson.txt
translation_to_graph_smiles_002_moljson,translation_to_graph_smiles_002,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_04d70d9b0f35fe370169faa7ca2fa4819490a011a2b81a5dfd,ok,,549,571,1120,7.816,outputs/responses/translation_to_graph_smiles_002_moljson.txt
translation_to_graph_smiles_005_moljson,translation_to_graph_smiles_005,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0bd67e9c397a43df0169faa7ca83008190a2a3c8881251e89f,ok,,556,582,1138,8.106,outputs/responses/translation_to_graph_smiles_005_moljson.txt
translation_to_graph_smiles_006_moljson,translation_to_graph_smiles_006,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_06be0873f2fe4b1a0169faa7ca4ca08190bda7b279ae15a417,ok,,557,587,1144,8.134,outputs/responses/translation_to_graph_smiles_006_moljson.txt
translation_to_graph_smiles_004_moljson,translation_to_graph_smiles_004,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_09687231f42943e10169faa7ca31ac81908a01897a617ac7fe,ok,,548,563,1111,8.25,outputs/responses/translation_to_graph_smiles_004_moljson.txt
translation_to_graph_smiles_003_moljson,translation_to_graph_smiles_003,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0858e09edfbea48c0169faa7ca2da88195bc9ffcf3e74692e5,ok,,550,571,1121,8.349,outputs/responses/translation_to_graph_smiles_003_moljson.txt
translation_to_graph_smiles_004_commonchem,translation_to_graph_smiles_004,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0c9087dfb4cad9de0169faa7ca6fa0819692507caa0ebd4de7,ok,,278,903,1181,12.552,outputs/responses/translation_to_graph_smiles_004_commonchem.txt
translation_to_graph_smiles_001_commonchem,translation_to_graph_smiles_001,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_006ebc1da3fb85f70169faa7ca4ee4819688a4962126d5b765,ok,,277,909,1186,13.911,outputs/responses/translation_to_graph_smiles_001_commonchem.txt
translation_to_graph_smiles_006_commonchem,translation_to_graph_smiles_006,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0cf944d61f5fbd2f0169faa7ca43fc8190a6d803d25b772f5a,ok,,287,938,1225,14.072,outputs/responses/translation_to_graph_smiles_006_commonchem.txt
translation_to_graph_smiles_009_moljson,translation_to_graph_smiles_009,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0d0bd57288815c6e0169faa7d1cb4481909a1c7eac039ebb11,ok,,545,670,1215,9.058,outputs/responses/translation_to_graph_smiles_009_moljson.txt
translation_to_graph_smiles_005_commonchem,translation_to_graph_smiles_005,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_09d1c862a8e010eb0169faa7ca6ba481909948e8a35a236a24,ok,,286,1091,1377,18.134,outputs/responses/translation_to_graph_smiles_005_commonchem.txt
translation_to_graph_smiles_007_moljson,translation_to_graph_smiles_007,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_01d8f2270964b0bf0169faa7d1282081978843c08e7db010bf,ok,,555,863,1418,11.313,outputs/responses/translation_to_graph_smiles_007_moljson.txt
translation_to_graph_smiles_002_commonchem,translation_to_graph_smiles_002,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0e3754737e877d480169faa7ca4ba48196ad1c04f7c9d6b178,ok,,279,1296,1575,19.654,outputs/responses/translation_to_graph_smiles_002_commonchem.txt
translation_to_graph_smiles_008_moljson,translation_to_graph_smiles_008,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0a67a60ac0de1c940169faa7d1a5708193b1436747b72aeb62,ok,,555,881,1436,12.515,outputs/responses/translation_to_graph_smiles_008_moljson.txt
translation_to_graph_smiles_010_moljson,translation_to_graph_smiles_010,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0e7fb9b6de9c754f0169faa7d6173081909a5c760e64c2de09,ok,,562,754,1316,8.926,outputs/responses/translation_to_graph_smiles_010_moljson.txt
translation_to_graph_smiles_009_commonchem,translation_to_graph_smiles_009,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0d7ae01854de746d0169faa7d1dea8819588a86a6a8e5e1b73,ok,,275,1452,1727,19.554,outputs/responses/translation_to_graph_smiles_009_commonchem.txt
translation_to_graph_smiles_011_moljson,translation_to_graph_smiles_011,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0738cb507c9b95100169faa7d79f0c819486ca9709245a3c2b,ok,,563,1106,1669,14.514,outputs/responses/translation_to_graph_smiles_011_moljson.txt
translation_to_graph_smiles_013_moljson,translation_to_graph_smiles_013,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0ef701b373a13da60169faa7dd34d48195a68c972df3e2acc9,ok,,559,863,1422,9.86,outputs/responses/translation_to_graph_smiles_013_moljson.txt
translation_to_graph_smiles_012_moljson,translation_to_graph_smiles_012,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0cbb96218cbc50cd0169faa7dbab708195b51388872da4548d,ok,,562,990,1552,13.345,outputs/responses/translation_to_graph_smiles_012_moljson.txt
translation_to_graph_smiles_010_commonchem,translation_to_graph_smiles_010,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_00bd565db074fd4e0169faa7d790388194a6fd957009b1097f,ok,,292,1355,1647,18.89,outputs/responses/translation_to_graph_smiles_010_commonchem.txt
translation_to_graph_smiles_007_commonchem,translation_to_graph_smiles_007,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_07ee6ccda18a613b0169faa7d164388197a1880789fc43ba68,ok,,285,1649,1934,25.907,outputs/responses/translation_to_graph_smiles_007_commonchem.txt
translation_to_graph_smiles_014_moljson,translation_to_graph_smiles_014,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0b1856a81336f4350169faa7deffac81909a77df8949b00872,ok,,558,1079,1637,12.93,outputs/responses/translation_to_graph_smiles_014_moljson.txt
translation_to_graph_smiles_003_commonchem,translation_to_graph_smiles_003,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0b3cd279be4934c70169faa7ca45b88195aa8062ce8f72cf85,ok,,280,2406,2686,36.861,outputs/responses/translation_to_graph_smiles_003_commonchem.txt
translation_to_graph_smiles_013_commonchem,translation_to_graph_smiles_013,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_058cb68043d94a5d0169faa7de33e481959f7c7ac65a2bfbb2,ok,,289,1561,1850,18.876,outputs/responses/translation_to_graph_smiles_013_commonchem.txt
translation_to_graph_smiles_015_moljson,translation_to_graph_smiles_015,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0ec88abb96be8ca60169faa7e622dc8196ad8afeff36af775e,ok,,567,965,1532,11.64,outputs/responses/translation_to_graph_smiles_015_moljson.txt
translation_to_graph_smiles_008_commonchem,translation_to_graph_smiles_008,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_072ae21c95f18db90169faa7d1abf48193bcc03eada12241fe,ok,,285,2471,2756,34.412,outputs/responses/translation_to_graph_smiles_008_commonchem.txt
translation_to_graph_smiles_011_commonchem,translation_to_graph_smiles_011,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0056c894463056660169faa7dadacc8197bcaac346037c4060,ok,,293,1913,2206,25.995,outputs/responses/translation_to_graph_smiles_011_commonchem.txt
translation_to_graph_smiles_012_commonchem,translation_to_graph_smiles_012,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_00ab56c976d0e4940169faa7dc734c8195aeb105bedc140483,ok,,292,1720,2012,24.501,outputs/responses/translation_to_graph_smiles_012_commonchem.txt
translation_to_graph_smiles_014_commonchem,translation_to_graph_smiles_014,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0ac45d112f781bba0169faa7e56fe48195b61490a41d2b4d39,ok,,288,1280,1568,15.835,outputs/responses/translation_to_graph_smiles_014_commonchem.txt
translation_to_graph_smiles_017_moljson,translation_to_graph_smiles_017,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_005c2e28c5573b1c0169faa7eb4b688193a99cb5b7a7f561ad,ok,,561,1058,1619,12.459,outputs/responses/translation_to_graph_smiles_017_moljson.txt
translation_to_graph_smiles_018_moljson,translation_to_graph_smiles_018,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_066065becf2d13f40169faa7ee68b88195a6392a1d5509b56c,ok,,559,931,1490,10.263,outputs/responses/translation_to_graph_smiles_018_moljson.txt
