id,pair_id,family,representation,evaluation_kind,source_smiles,response_path,has_response,is_correct,predicted_smiles,predicted_integer,error,failure_details,response_text
translation_to_graph_smiles_001_moljson,translation_to_graph_smiles_001,translation_to_graph,moljson,translation_to_graph,CCC(O)C(N)N(CC)CC,outputs/responses/translation_to_graph_smiles_001_moljson.txt,True,True,CCC(O)C(N)N(CC)CC,,,,"{""atoms"":[{""id"":""a1"",""element"":""C""},{""id"":""a2"",""element"":""C""},{""id"":""a3"",""element"":""C""},{""id"":""a4"",""element"":""O""},{""id"":""a5"",""element"":""C""},{""id"":""a6"",""element"":""N""},{""id"":""a7"",""element"":""C""},{""id"":""a8"",""element"":""C""},{""id"":""a9"",""element"":""C""},{""id"":""a10"",""element"":""C""},{""id"":""a11"",""element"":""N""}],""bonds"":[{""source"":""a1"",""target"":""a2"",""order"":1},{""source"":""a2"",""target"":""a3"",""order"":1},{""source"":""a3"",""target"":""a4"",""order"":1},{""source"":""a3"",""target"":""a5"",""order"":1},{""source"":""a5"",""target"":""a6"",""order"":1},{""source"":""a6"",""target"":""a7"",""order"":1},{""source"":""a7"",""target"":""a8"",""order"":1},{""source"":""a6"",""target"":""a9"",""order"":1},{""source"":""a9"",""target"":""a10"",""order"":1},{""source"":""a5"",""target"":""a11"",""order"":1}],""charges"":null,""aromatic_n_h"":null}"
translation_to_graph_smiles_001_commonchem,translation_to_graph_smiles_001,translation_to_graph,commonchem,translation_to_graph,CCC(O)C(N)N(CC)CC,outputs/responses/translation_to_graph_smiles_001_commonchem.txt,True,True,CCC(O)C(N)N(CC)CC,,,,"{""commonchem"":10,""molecules"":[{""atoms"":[{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0}],""bonds"":[{""type"":1,""atoms"":[0,1]},{""type"":1,""atoms"":[1,2]},{""type"":1,""atoms"":[2,3]},{""type"":1,""atoms"":[2,4]},{""type"":1,""atoms"":[4,5]},{""type"":1,""atoms"":[4,6]},{""type"":1,""atoms"":[6,7]},{""type"":1,""atoms"":[7,8]},{""type"":1,""atoms"":[6,9]},{""type"":1,""atoms"":[9,10]}]}]}"
translation_to_graph_smiles_002_moljson,translation_to_graph_smiles_002,translation_to_graph,moljson,translation_to_graph,CC(C)c1cnc(CN)c(F)c1,outputs/responses/translation_to_graph_smiles_002_moljson.txt,True,True,CC(C)c1cnc(CN)c(F)c1,,,,"{""atoms"":[{""id"":""a1"",""element"":""C""},{""id"":""a2"",""element"":""C""},{""id"":""a3"",""element"":""C""},{""id"":""a4"",""element"":""C""},{""id"":""a5"",""element"":""C""},{""id"":""a6"",""element"":""N""},{""id"":""a7"",""element"":""C""},{""id"":""a8"",""element"":""C""},{""id"":""a9"",""element"":""C""},{""id"":""a10"",""element"":""C""},{""id"":""a11"",""element"":""N""},{""id"":""a12"",""element"":""F""}],""bonds"":[{""source"":""a1"",""target"":""a2"",""order"":1},{""source"":""a2"",""target"":""a3"",""order"":1},{""source"":""a2"",""target"":""a4"",""order"":1},{""source"":""a4"",""target"":""a5"",""order"":1.5},{""source"":""a5"",""target"":""a6"",""order"":1.5},{""source"":""a6"",""target"":""a7"",""order"":1.5},{""source"":""a7"",""target"":""a8"",""order"":1.5},{""source"":""a8"",""target"":""a9"",""order"":1.5},{""source"":""a9"",""target"":""a4"",""order"":1.5},{""source"":""a7"",""target"":""a10"",""order"":1},{""source"":""a10"",""target"":""a11"",""order"":1},{""source"":""a8"",""target"":""a12"",""order"":1}],""charges"":null,""aromatic_n_h"":null}"
translation_to_graph_smiles_002_commonchem,translation_to_graph_smiles_002,translation_to_graph,commonchem,translation_to_graph,CC(C)c1cnc(CN)c(F)c1,outputs/responses/translation_to_graph_smiles_002_commonchem.txt,True,True,CC(C)c1cnc(CN)c(F)c1,,,,"{""commonchem"":10,""molecules"":[{""atoms"":[{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":9,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0}],""bonds"":[{""type"":1,""atoms"":[0,1]},{""type"":1,""atoms"":[1,2]},{""type"":1,""atoms"":[1,3]},{""type"":2,""atoms"":[3,4]},{""type"":1,""atoms"":[4,5]},{""type"":2,""atoms"":[5,6]},{""type"":1,""atoms"":[6,7]},{""type"":2,""atoms"":[7,8]},{""type"":1,""atoms"":[8,3]},{""type"":1,""atoms"":[6,9]},{""type"":1,""atoms"":[9,10]},{""type"":1,""atoms"":[7,11]}]}]}"
translation_to_graph_smiles_003_moljson,translation_to_graph_smiles_003,translation_to_graph,moljson,translation_to_graph,c1cn2[n+](c1)CCCCC2,outputs/responses/translation_to_graph_smiles_003_moljson.txt,True,False,c1cn2[n+](c1)CCCC2,,smiles_mismatch,,"{""atoms"":[{""id"":""a1"",""element"":""C""},{""id"":""a2"",""element"":""C""},{""id"":""a3"",""element"":""N""},{""id"":""a4"",""element"":""N""},{""id"":""a5"",""element"":""C""},{""id"":""a6"",""element"":""C""},{""id"":""a7"",""element"":""C""},{""id"":""a8"",""element"":""C""},{""id"":""a9"",""element"":""C""}],""bonds"":[{""source"":""a1"",""target"":""a2"",""order"":1.5},{""source"":""a2"",""target"":""a3"",""order"":1.5},{""source"":""a3"",""target"":""a4"",""order"":1.5},{""source"":""a4"",""target"":""a5"",""order"":1.5},{""source"":""a5"",""target"":""a1"",""order"":1.5},{""source"":""a4"",""target"":""a6"",""order"":1},{""source"":""a6"",""target"":""a7"",""order"":1},{""source"":""a7"",""target"":""a8"",""order"":1},{""source"":""a8"",""target"":""a9"",""order"":1},{""source"":""a9"",""target"":""a3"",""order"":1}],""charges"":[{""atom_id"":""a4"",""formal_charge"":1}],""aromatic_n_h"":null}"
translation_to_graph_smiles_003_commonchem,translation_to_graph_smiles_003,translation_to_graph,commonchem,translation_to_graph,c1cn2[n+](c1)CCCCC2,outputs/responses/translation_to_graph_smiles_003_commonchem.txt,True,False,,,"AtomValenceException: Explicit valence for atom # 2 N, 4, is greater than permitted",,"{""commonchem"":10,""molecules"":[{""atoms"":[{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":1,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0}],""bonds"":[{""type"":1,""atoms"":[0,1]},{""type"":2,""atoms"":[1,2]},{""type"":1,""atoms"":[2,3]},{""type"":1,""atoms"":[3,4]},{""type"":2,""atoms"":[4,0]},{""type"":1,""atoms"":[3,5]},{""type"":1,""atoms"":[5,6]},{""type"":1,""atoms"":[6,7]},{""type"":1,""atoms"":[7,8]},{""type"":1,""atoms"":[8,9]},{""type"":1,""atoms"":[9,2]}]}]}"
translation_to_graph_smiles_004_moljson,translation_to_graph_smiles_004,translation_to_graph,moljson,translation_to_graph,CCC1(C)CN2CCN1CC2,outputs/responses/translation_to_graph_smiles_004_moljson.txt,True,True,CCC1(C)CN2CCN1CC2,,,,"{""atoms"":[{""id"":""a1"",""element"":""C""},{""id"":""a2"",""element"":""C""},{""id"":""a3"",""element"":""C""},{""id"":""a4"",""element"":""C""},{""id"":""a5"",""element"":""C""},{""id"":""a6"",""element"":""N""},{""id"":""a7"",""element"":""C""},{""id"":""a8"",""element"":""C""},{""id"":""a9"",""element"":""N""},{""id"":""a10"",""element"":""C""},{""id"":""a11"",""element"":""C""}],""bonds"":[{""source"":""a1"",""target"":""a2"",""order"":1},{""source"":""a2"",""target"":""a3"",""order"":1},{""source"":""a3"",""target"":""a4"",""order"":1},{""source"":""a3"",""target"":""a5"",""order"":1},{""source"":""a5"",""target"":""a6"",""order"":1},{""source"":""a6"",""target"":""a7"",""order"":1},{""source"":""a7"",""target"":""a8"",""order"":1},{""source"":""a8"",""target"":""a9"",""order"":1},{""source"":""a9"",""target"":""a3"",""order"":1},{""source"":""a9"",""target"":""a10"",""order"":1},{""source"":""a10"",""target"":""a11"",""order"":1},{""source"":""a11"",""target"":""a6"",""order"":1}],""charges"":null,""aromatic_n_h"":null}"
translation_to_graph_smiles_004_commonchem,translation_to_graph_smiles_004,translation_to_graph,commonchem,translation_to_graph,CCC1(C)CN2CCN1CC2,outputs/responses/translation_to_graph_smiles_004_commonchem.txt,True,True,CCC1(C)CN2CCN1CC2,,,,"{""commonchem"":10,""molecules"":[{""atoms"":[{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0}],""bonds"":[{""type"":1,""atoms"":[0,1]},{""type"":1,""atoms"":[1,2]},{""type"":1,""atoms"":[2,3]},{""type"":1,""atoms"":[2,4]},{""type"":1,""atoms"":[4,5]},{""type"":1,""atoms"":[5,6]},{""type"":1,""atoms"":[6,7]},{""type"":1,""atoms"":[7,8]},{""type"":1,""atoms"":[8,2]},{""type"":1,""atoms"":[8,9]},{""type"":1,""atoms"":[9,10]},{""type"":1,""atoms"":[10,5]}]}]}"
translation_to_graph_smiles_005_moljson,translation_to_graph_smiles_005,translation_to_graph,moljson,translation_to_graph,C=CC(=O)OCC(O)CNC(=O)OCC,outputs/responses/translation_to_graph_smiles_005_moljson.txt,True,True,C=CC(=O)OCC(O)CNC(=O)OCC,,,,"{""atoms"":[{""id"":""a1"",""element"":""C""},{""id"":""a2"",""element"":""C""},{""id"":""a3"",""element"":""C""},{""id"":""a4"",""element"":""O""},{""id"":""a5"",""element"":""O""},{""id"":""a6"",""element"":""C""},{""id"":""a7"",""element"":""C""},{""id"":""a8"",""element"":""O""},{""id"":""a9"",""element"":""C""},{""id"":""a10"",""element"":""N""},{""id"":""a11"",""element"":""C""},{""id"":""a12"",""element"":""O""},{""id"":""a13"",""element"":""O""},{""id"":""a14"",""element"":""C""},{""id"":""a15"",""element"":""C""}],""bonds"":[{""source"":""a1"",""target"":""a2"",""order"":2},{""source"":""a2"",""target"":""a3"",""order"":1},{""source"":""a3"",""target"":""a4"",""order"":2},{""source"":""a3"",""target"":""a5"",""order"":1},{""source"":""a5"",""target"":""a6"",""order"":1},{""source"":""a6"",""target"":""a7"",""order"":1},{""source"":""a7"",""target"":""a8"",""order"":1},{""source"":""a7"",""target"":""a9"",""order"":1},{""source"":""a9"",""target"":""a10"",""order"":1},{""source"":""a10"",""target"":""a11"",""order"":1},{""source"":""a11"",""target"":""a12"",""order"":2},{""source"":""a11"",""target"":""a13"",""order"":1},{""source"":""a13"",""target"":""a14"",""order"":1},{""source"":""a14"",""target"":""a15"",""order"":1}],""charges"":null,""aromatic_n_h"":null}"
translation_to_graph_smiles_005_commonchem,translation_to_graph_smiles_005,translation_to_graph,commonchem,translation_to_graph,C=CC(=O)OCC(O)CNC(=O)OCC,outputs/responses/translation_to_graph_smiles_005_commonchem.txt,True,True,C=CC(=O)OCC(O)CNC(=O)OCC,,,,"{""commonchem"":10,""molecules"":[{""atoms"":[{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":7,""impHs"":1,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":8,""impHs"":0,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":2,""chg"":0,""isotope"":0,""nRad"":0},{""z"":6,""impHs"":3,""chg"":0,""isotope"":0,""nRad"":0}],""bonds"":[{""type"":2,""atoms"":[0,1]},{""type"":1,""atoms"":[1,2]},{""type"":2,""atoms"":[2,3]},{""type"":1,""atoms"":[2,4]},{""type"":1,""atoms"":[4,5]},{""type"":1,""atoms"":[5,6]},{""type"":1,""atoms"":[6,7]},{""type"":1,""atoms"":[6,8]},{""type"":1,""atoms"":[8,9]},{""type"":1,""atoms"":[9,10]},{""type"":2,""atoms"":[10,11]},{""type"":1,""atoms"":[10,12]},{""type"":1,""atoms"":[12,13]},{""type"":1,""atoms"":[13,14]}]}]}"
